audio_id,speaker_id,label,original_label,attack_type,split,file_path,duration_seconds,sample_rate,channels,status
LA_T_1138215,LA_0079,real,bonafide,none,train,dataset\raw\asvspoof2019_LA\LA\LA\ASVspoof2019_LA_train\flac\LA_T_1138215.flac,3.458,16000,1,valid
LA_T_1271820,LA_0079,real,bonafide,none,train,dataset\raw\asvspoof2019_LA\LA\LA\ASVspoof2019_LA_train\flac\LA_T_1271820.flac,4.395,16000,1,valid
LA_T_1272637,LA_0079,real,bonafide,none,train,dataset\raw\asvspoof2019_LA\LA\LA\ASVspoof2019_LA_train\flac\LA_T_1272637.flac,2.9,16000,1,valid
LA_T_1276960,LA_0079,real,bonafide,none,train,dataset\raw\asvspoof2019_LA\LA\LA\ASVspoof2019_LA_train\flac\LA_T_1276960.flac,2.813,16000,1,valid
LA_T_1341447,LA_0079,real,bonafide,none,train,dataset\raw\asvspoof2019_LA\LA\LA\ASVspoof2019_LA_train\flac\LA_T_1341447.flac,3.533,16000,1,valid
LA_T_1363611,LA_0079,real,bonafide,none,train,dataset\raw\asvspoof2019_LA\LA\LA\ASVspoof2019_LA_train\flac\LA_T_1363611.flac,2.257,16000,1,valid
LA_T_1596451,LA_0079,real,bonafide,none,train,dataset\raw\asvspoof2019_LA\LA\LA\ASVspoof2019_LA_train\flac\LA_T_1596451.flac,2.126,16000,1,valid
LA_T_1608170,LA_0079,real,bonafide,none,train,dataset\raw\asvspoof2019_LA\LA\LA\ASVspoof2019_LA_train\flac\LA_T_1608170.flac,2.003,16000,1,valid
LA_T_1684951,LA_0079,real,bonafide,none,train,dataset\raw\asvspoof2019_LA\LA\LA\ASVspoof2019_LA_train\flac\LA_T_1684951.flac,3.792,16000,1,valid
LA_T_1699801,LA_0079,real,bonafide,none,train,dataset\raw\asvspoof2019_LA\LA\LA\ASVspoof2019_LA_train\flac\LA_T_1699801.flac,3.241,16000,1,valid
